The graph SACHS has 8 nodes and 14 edges
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 71 B; rt:0.009536981582641602
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 72 B; rt:0.009608030319213867
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 73 B; rt:0.012725591659545898
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 74 B; rt:0.009660482406616211
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 75 B; rt:0.010832548141479492
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 76 B; rt:0.014063358306884766
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 77 B; rt:0.007105827331542969
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 78 B; rt:0.004769086837768555
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 79 B; rt:0.005990266799926758
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 80 B; rt:0.004678964614868164
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 81 B; rt:0.004502058029174805
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 82 B; rt:0.008403301239013672
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 83 B; rt:0.0035791397094726562
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 84 B; rt:0.0045201778411865234
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 85 B; rt:0.004256486892700195
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 86 B; rt:0.005433559417724609
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 87 B; rt:0.004251956939697266
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 88 B; rt:0.0048406124114990234
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 89 B; rt:0.0047893524169921875
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 90 B; rt:0.004705667495727539
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 91 B; rt:0.015268564224243164
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 92 B; rt:0.009386539459228516
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 93 B; rt:0.013768672943115234
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 94 B; rt:0.011171817779541016
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 95 B; rt:0.008016586303710938
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 96 B; rt:0.011270284652709961
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 97 B; rt:0.00950765609741211
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 98 B; rt:0.009703636169433594
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 99 B; rt:0.007304191589355469
SACHS 1 / 28; |X|: 1, |Z|: 0; it: 100 B; rt:0.07161450386047363
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 1 B; rt:0.41497206687927246
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 2 B; rt:0.03346586227416992
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 3 B; rt:0.016371726989746094
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 4 B; rt:0.1094963550567627
