The graph BA3 has 1000 nodes and 2991 edges
BA3 1 / 84; |X|: 1, |Z|: 0; it: 1 DC
T: 0.8869171142578125; N: 0.32846927642822266BA3 2 / 84; |X|: 1, |Z|: 1; it: 28 DC
T: 0.5667707920074463; N: 0.5012772083282471BA3 2 / 84; |X|: 1, |Z|: 1; it: 29 DC
T: 0.5805675983428955; N: 0.1545708179473877BA3 2 / 84; |X|: 1, |Z|: 1; it: 30 DC
T: 0.48134899139404297; N: 0.3392333984375BA3 3 / 84; |X|: 1, |Z|: 2; it: 1 DC
T: 0.561607837677002; N: 0.4504365921020508BA3 3 / 84; |X|: 1, |Z|: 2; it: 2 DC
T: 0.5187468528747559; N: 0.35318493843078613BA3 3 / 84; |X|: 1, |Z|: 2; it: 3 DC
T: 0.40157437324523926; N: 0.7756357192993164BA3 3 / 84; |X|: 1, |Z|: 2; it: 4 DC
T: 0.47724056243896484; N: 0.38996410369873047BA3 3 / 84; |X|: 1, |Z|: 2; it: 5 DC
T: 0.44675183296203613; N: 0.255601167678833BA3 3 / 84; |X|: 1, |Z|: 2; it: 6 DC
T: 0.27925968170166016; N: 0.34575510025024414BA3 3 / 84; |X|: 1, |Z|: 2; it: 7 DC
T: 0.5950121879577637; N: 0.2628154754638672BA3 3 / 84; |X|: 1, |Z|: 2; it: 8 DC
T: 0.600278377532959; N: 0.33766865730285645BA3 3 / 84; |X|: 1, |Z|: 2; it: 9 DC
T: 0.963585376739502; N: 0.36965036392211914BA3 3 / 84; |X|: 1, |Z|: 2; it: 10 DC
T: 0.6134033203125; N: 0.33084893226623535BA3 3 / 84; |X|: 1, |Z|: 2; it: 11 DC
T: 0.9970715045928955; N: 0.2935962677001953BA3 3 / 84; |X|: 1, |Z|: 2; it: 12 DC
T: 1.067516803741455; N: 0.4125981330871582BA3 3 / 84; |X|: 1, |Z|: 2; it: 13 DC
T: 0.5701804161071777; N: 0.20467829704284668BA3 3 / 84; |X|: 1, |Z|: 2; it: 14 DC
T: 0.36000514030456543; N: 0.09713435173034668BA3 3 / 84; |X|: 1, |Z|: 2; it: 15 DC
T: 0.504847526550293; N: 0.20710229873657227BA3 3 / 84; |X|: 1, |Z|: 2; it: 16 DC
T: 0.511014461517334; N: 0.4900248050689697BA3 3 / 84; |X|: 1, |Z|: 2; it: 17 DC
T: 0.693321943283081; N: 0.5056717395782471BA3 3 / 84; |X|: 1, |Z|: 2; it: 18 DC
T: 0.5168347358703613; N: 0.3103656768798828BA3 3 / 84; |X|: 1, |Z|: 2; it: 19 DC
T: 0.38527345657348633; N: 0.15563225746154785BA3 3 / 84; |X|: 1, |Z|: 2; it: 20 DC
T: 0.312089204788208; N: 0.16718339920043945BA3 3 / 84; |X|: 1, |Z|: 2; it: 21 DC
T: 0.4551844596862793; N: 0.29205989837646484BA3 3 / 84; |X|: 1, |Z|: 2; it: 22 DC
T: 0.3697528839111328; N: 0.39452648162841797BA3 3 / 84; |X|: 1, |Z|: 2; it: 23 DC
T: 0.4704930782318115; N: 0.21462321281433105BA3 3 / 84; |X|: 1, |Z|: 2; it: 24 DC
T: 0.26888060569763184; N: 0.22228288650512695BA3 3 / 84; |X|: 1, |Z|: 2; it: 25 DC
T: 0.5126509666442871; N: 0.2599754333496094BA3 3 / 84; |X|: 1, |Z|: 2; it: 26 DC
